ds,yhat,yhat_lower,yhat_upper
2024-05-15 18:30:00,22545.51126145181,22126.34948419448,22991.488208247923
2024-05-16 18:30:00,22626.05054806215,22199.464186318728,23037.820701863566
2024-05-20 18:30:00,22628.670043451413,22202.199380496822,23049.64378913034
2024-05-21 18:30:00,22640.210579031504,22222.71209431882,23052.74521311767
2024-05-22 18:30:00,22666.6276613485,22227.252893979894,23085.23431977756
2024-05-23 18:30:00,22758.49120746795,22325.840814292966,23217.879000139623
2024-05-26 18:30:00,22834.670441722013,22417.148776153033,23260.492325757772
2024-05-27 18:30:00,22806.407740893883,22377.116677546328,23236.36094292275
2024-05-28 18:30:00,22829.27253598322,22403.79719675442,23264.64078058524
2024-05-29 18:30:00,22867.01387780942,22443.994034142066,23303.60066510892
2024-05-30 18:30:00,22958.87742392882,22550.19082253952,23385.92997005861
2024-06-02 18:30:00,23035.056658183075,22600.56386267642,23443.785635104778
2024-06-03 18:30:00,23006.793957354977,22576.882303191756,23463.30026708543
2024-06-04 18:30:00,23034.192804101032,22593.2126891379,23441.51936024586
2024-06-05 18:30:00,23076.46819758415,22653.476526071267,23485.08908002788
2024-06-06 18:30:00,23172.865795360514,22739.979203700164,23578.91097089858
2024-06-09 18:30:00,23262.647184585338,22835.595783838744,23707.919459126446
2024-06-10 18:30:00,23238.91853541417,22811.458842246655,23686.948731532615
2024-06-11 18:30:00,23266.31738216028,22851.60530012716,23681.78403988137
2024-06-12 18:30:00,23308.59277564346,22859.243741434053,23733.62843756671
2024-06-13 18:30:00,23404.99037341964,22970.564071031513,23820.398180663688
2024-06-17 18:30:00,23471.043110541304,23045.188384661302,23915.467614927056
2024-06-18 18:30:00,23498.44195655438,23063.189947085903,23913.459844017012
2024-06-19 18:30:00,23540.717349304272,23129.506673374664,23995.560133272946
2024-06-20 18:30:00,23637.114946347738,23208.896914561563,24046.7573510509
2024-06-23 18:30:00,23726.896333373486,23321.774373274802,24166.94743905526
2024-06-24 18:30:00,23703.1676834692,23279.570878405928,24101.021600234875
2024-06-25 18:30:00,23730.56652948241,23304.506253141702,24132.604944350947
2024-06-26 18:30:00,23772.84192230189,23332.55258381931,24244.181492705844
2024-06-27 18:30:00,23869.2395194148,23472.069503408446,24312.2172875214
2024-06-30 18:30:00,23959.02090664881,23538.59537332237,24371.52602174724
2024-07-01 18:30:00,23935.292256814155,23530.809178547013,24343.06141961452
2024-07-02 18:30:00,23962.691102896846,23540.66543002584,24377.823897603852
2024-07-03 18:30:00,24004.966495716333,23579.49645346862,24399.377901306565
2024-07-04 18:30:00,24101.3640928292,23681.185793670593,24516.92607035177
2024-07-07 18:30:00,24191.145480063395,23751.575353425003,24603.832507899766
2024-07-08 18:30:00,24157.063495769627,23715.051043309308,24586.44638049541
2024-07-09 18:30:00,24174.109007393112,23748.177298412615,24608.50755309557
2024-07-10 18:30:00,24206.031065753585,23800.586918615285,24631.182452695237
2024-07-11 18:30:00,24292.07532840743,23876.81871092102,24737.858827775617
2024-07-14 18:30:00,24350.796712264182,23920.331408705613,24758.128264570594
2024-07-15 18:30:00,24316.714727970506,23893.02166163558,24772.669114481396
2024-07-17 18:30:00,24365.682297954514,23992.451612085624,24778.227427441583
2024-07-18 18:30:00,24451.72656060817,24033.533183832868,24860.40349145394
2024-07-21 18:30:00,24484.766099439927,24047.903580801936,24912.478366848678
2024-07-22 18:30:00,24442.12350013783,24028.471586889194,24878.564871930183
2024-07-23 18:30:00,24450.608396752898,23997.90671826455,24866.787316621325
2024-07-24 18:30:00,24473.96984010511,24042.650201033848,24891.834539325486
2024-07-25 18:30:00,24551.45348775029,24128.819170641404,24967.38154978419
2024-07-28 18:30:00,24584.49302658211,24165.38395919309,25046.53321354372
2024-07-29 18:30:00,24541.85042727985,24118.86476457069,24961.095619592623
2024-07-30 18:30:00,24550.335323895062,24124.20320957683,24955.36064668458
2024-07-31 18:30:00,24573.69676523913,24127.77534715805,25001.558502277647
2024-08-01 18:30:00,24651.18041087617,24222.305781812614,25084.92650960157
2024-08-04 18:30:00,24684.21994368358,24259.86547077981,25102.832076618026
2024-08-05 18:30:00,24641.57734237315,24208.185672434647,25064.240168202778
2024-08-06 18:30:00,24650.062236980208,24228.511675237638,25116.43611894351
2024-08-07 18:30:00,24673.423678324074,24288.224985447043,25106.220486318605
2024-08-08 18:30:00,24750.90732396139,24314.375428731837,25171.782717920978
2024-08-11 18:30:00,24783.946856768718,24388.556314817335,25204.57547082336
2024-08-12 18:30:00,24741.304256006057,24315.89311031197,25189.962278041152
2024-08-13 18:30:00,24749.789151160483,24329.098057970332,25141.644536485244
2024-08-15 18:30:00,24850.634239236773,24436.8421254608,25252.294661844462
2024-08-18 18:30:00,24883.673773686856,24460.225824293666,25336.809702914026
2024-08-19 18:30:00,24841.031172924166,24390.359198012782,25250.224995024117
2024-08-20 18:30:00,24849.516068078603,24450.9172998157,25316.89888580768
2024-08-21 18:30:00,24872.87750997019,24471.980880918967,25303.23027394448
2024-08-22 18:30:00,24950.361156154846,24528.067026651966,25376.813423212177
2024-08-25 18:30:00,24983.400694513373,24600.811962870885,25391.63948620159
2024-08-26 18:30:00,24940.758095053534,24510.88043866981,25404.644595737853
2024-08-27 18:30:00,24949.242991510848,24551.19880477124,25384.32447682659
2024-08-28 18:30:00,24972.604434705027,24552.093287703752,25413.717964772455
